AÑO,MUNICIPIO,DEPARTAMENTO,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2016,Aracataca,Magdalena,Magdalena (ETC),11068,78.8,78.68,42.95,67.57,59.32,32.64,98.42,103.6,112.43,93.86,67.75,3.02,4.99,2.24,3.7,2.35,94.76,97.08,92.53,91.39,2.22,0.0,0.68,3.77,6.26,9.21,28.08,7.78,7.16,3.24
2016,Ariguaní,Magdalena,Magdalena (ETC),8132,90.0,89.99,65.09,77.77,57.72,34.21,103.18,172.82,112.06,88.22,72.83,3.12,2.87,2.98,3.79,2.24,94.45,95.37,90.61,97.23,2.43,0.0,1.65,5.6,0.53,8.26,29.39,4.54,5.6,1.85
2016,Cerro San Antonio,Magdalena,Magdalena (ETC),1920,94.4,94.38,75.0,102.93,55.68,21.71,104.38,167.68,135.33,80.28,37.17,1.0,1.09,1.36,0.39,0.0,99.0,98.64,99.61,100.0,0.0,0.0,0.0,0.0,0.0,8.03,13.09,6.32,10.22,2.65
2016,Chibolo,Magdalena,Magdalena (ETC),4653,110.1,110.12,74.87,101.25,64.81,33.19,136.39,241.37,149.62,118.68,78.97,3.89,3.45,3.47,5.33,2.23,95.79,96.31,94.02,97.28,0.32,0.0,0.22,0.65,0.5,3.6,6.15,2.93,4.1,0.5
2016,Ciénaga,Magdalena,Ciénaga,26322,100.9,100.65,65.86,91.85,77.85,40.31,114.11,145.76,120.46,116.91,77.94,4.1,4.23,4.28,4.46,2.11,95.55,95.32,95.35,97.28,0.35,0.42,0.4,0.19,0.6,2.6,3.7,2.1,3.41,0.83
2016,Concordia,Magdalena,Magdalena (ETC),2022,123.5,123.54,76.61,108.26,104.85,55.62,149.11,187.72,137.84,164.09,129.21,2.18,3.43,2.23,1.99,1.41,95.36,95.0,95.12,96.05,2.46,0.0,2.77,2.89,2.54,4.82,14.33,2.77,5.07,1.98
2016,El Banco,Magdalena,Magdalena (ETC),14929,102.9,102.82,61.68,93.27,76.11,42.07,124.61,134.77,132.16,127.54,92.72,1.56,1.23,1.18,2.33,1.24,95.49,96.23,93.26,95.83,2.94,0.06,2.59,4.41,2.94,7.04,13.17,6.28,7.59,2.15
2016,El Piñon,Magdalena,Magdalena (ETC),4092,93.8,93.84,67.15,89.04,76.1,48.26,104.77,100.29,113.34,107.72,78.67,2.92,3.45,2.37,3.55,2.96,93.93,95.06,91.03,95.98,3.14,0.0,2.58,5.43,1.06,6.34,13.51,7.89,3.98,1.69
2016,El Retén,Magdalena,Magdalena (ETC),6070,93.6,93.51,60.91,85.02,64.36,37.17,107.96,159.96,120.25,99.69,66.89,1.71,1.6,1.71,1.49,2.55,95.55,93.32,97.51,96.18,2.73,0.0,4.97,1.01,1.27,9.27,29.01,6.92,6.47,2.87
2016,Fundación,Magdalena,Magdalena (ETC),15821,114.0,113.61,68.95,99.55,80.12,41.23,132.91,171.01,147.03,128.77,83.49,3.7,7.93,4.02,2.15,1.52,94.09,94.54,93.83,96.38,2.21,0.58,1.44,4.01,2.1,6.71,15.58,4.92,6.96,3.04
